Type of Food,Food Prepared,Event Type,Food Consumed,Storage Conditions,Purchase History,Seasonality,Preparation Method,Geographical Location,Pricing,Wastage Food Amount
Vegetables,800,Corporate,620,Refrigerated,Regular,Winter,Finger Food,Suburban,Low,180
Meat,950,Corporate,750,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,200
Fruits,1000,Wedding,800,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,200
Meat,900,Wedding,720,Refrigerated,Regular,Winter,Finger Food,Suburban,Moderate,180
Fruits,1000,Wedding,800,Refrigerated,Regular,All Seasons,Finger Food,Urban,High,200
Baked Goods,900,Corporate,720,Room Temperature,Regular,Summer,Buffet,Rural,High,180
Meat,1000,Birthday,800,Room Temperature,Regular,Winter,Finger Food,Suburban,High,200
Meat,782,Wedding,608,Refrigerated,Regular,Summer,Sit-down Dinner,Rural,Moderate,174
Meat,850,Birthday,680,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,170
Meat,900,Corporate,780,Refrigerated,Regular,Winter,Finger Food,Suburban,Moderate,120
Meat,993,Corporate,838,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Moderate,155
Fruits,950,Corporate,750,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Low,200
Meat,800,Corporate,620,Refrigerated,Occasional,Winter,Finger Food,Suburban,Moderate,180
Fruits,800,Corporate,620,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,180
Vegetables,850,Social Gathering,680,Room Temperature,Regular,Summer,Buffet,Urban,Low,170
Meat,800,Corporate,620,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,180
Fruits,997,Wedding,891,Room Temperature,Regular,All Seasons,Finger Food,Urban,High,106
Fruits,1000,Birthday,800,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,200
Meat,850,Birthday,650,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Moderate,200
Meat,900,Corporate,700,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,200
Dairy Products,959,Corporate,839,Room Temperature,Regular,Summer,Buffet,Suburban,Low,120
Fruits,950,Corporate,640,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Low,310
Baked Goods,900,Birthday,700,Room Temperature,Regular,Summer,Finger Food,Suburban,Low,200
Fruits,850,Corporate,680,Refrigerated,Occasional,Summer,Finger Food,Suburban,Moderate,170
Fruits,950,Wedding,750,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,200
Meat,950,Social Gathering,800,Refrigerated,Regular,All Seasons,Buffet,Urban,Moderate,150
Fruits,995,Birthday,834,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Low,161
Fruits,900,Corporate,700,Refrigerated,Regular,All Seasons,Finger Food,Rural,Moderate,200
Fruits,874,Social Gathering,690,Room Temperature,Regular,Winter,Finger Food,Urban,Low,184
Dairy Products,900,Birthday,700,Room Temperature,Regular,Winter,Finger Food,Urban,Low,200
Meat,900,Social Gathering,720,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,180
Baked Goods,900,Birthday,720,Room Temperature,Regular,Summer,Finger Food,Urban,Moderate,180
Meat,1000,Social Gathering,800,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,200
Vegetables,850,Birthday,680,Refrigerated,Regular,All Seasons,Finger Food,Rural,Moderate,170
Baked Goods,1000,Corporate,780,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,220
Meat,980,Birthday,780,Refrigerated,Regular,Summer,Buffet,Suburban,Moderate,200
Meat,1000,Wedding,800,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,200
Meat,900,Birthday,720,Refrigerated,Regular,All Seasons,Buffet,Suburban,High,180
Vegetables,850,Wedding,680,Refrigerated,Regular,Winter,Finger Food,Urban,Low,170
Vegetables,900,Birthday,720,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,180
Fruits,850,Social Gathering,650,Room Temperature,Regular,All Seasons,Buffet,Urban,Low,200
Vegetables,950,Corporate,750,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,200
Meat,850,Wedding,650,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Suburban,High,200
Vegetables,850,Corporate,680,Refrigerated,Occasional,Summer,Finger Food,Urban,Moderate,170
Baked Goods,1000,Birthday,850,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,150
Dairy Products,850,Social Gathering,650,Room Temperature,Regular,Summer,Buffet,Urban,Low,200
Fruits,1000,Wedding,630,Room Temperature,Regular,All Seasons,Sit-down Dinner,Rural,Moderate,370
Baked Goods,900,Birthday,720,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,180
Baked Goods,982,Wedding,842,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,140
Baked Goods,850,Birthday,650,Room Temperature,Regular,Winter,Finger Food,Suburban,High,200
Vegetables,850,Social Gathering,710,Refrigerated,Regular,Winter,Finger Food,Rural,High,140
Fruits,900,Social Gathering,720,Room Temperature,Regular,All Seasons,Buffet,Rural,High,180
Dairy Products,950,Corporate,750,Room Temperature,Regular,Summer,Finger Food,Urban,High,200
Meat,1000,Social Gathering,800,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,200
Fruits,900,Corporate,720,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,180
Vegetables,950,Wedding,750,Refrigerated,Occasional,Winter,Sit-down Dinner,Suburban,High,200
Meat,850,Social Gathering,680,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,170
Meat,950,Social Gathering,750,Refrigerated,Occasional,All Seasons,Finger Food,Rural,High,200
Baked Goods,871,Social Gathering,702,Room Temperature,Regular,Summer,Buffet,Suburban,Low,169
Fruits,993,Corporate,838,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,155
Baked Goods,850,Corporate,710,Room Temperature,Regular,All Seasons,Finger Food,Urban,High,140
Dairy Products,900,Social Gathering,720,Room Temperature,Regular,Summer,Buffet,Rural,High,180
Fruits,900,Birthday,700,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,200
Baked Goods,850,Birthday,680,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,170
Dairy Products,1000,Corporate,800,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Low,200
Vegetables,850,Corporate,650,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,200
Fruits,950,Corporate,750,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,200
Dairy Products,900,Corporate,700,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,200
Fruits,950,Corporate,750,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Rural,Moderate,200
Baked Goods,1000,Corporate,780,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,220
Dairy Products,980,Corporate,650,Room Temperature,Regular,All Seasons,Finger Food,Urban,Low,330
Dairy Products,900,Social Gathering,700,Room Temperature,Regular,Summer,Buffet,Suburban,High,200
Fruits,850,Wedding,650,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Suburban,Moderate,200
Fruits,1000,Social Gathering,800,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,200
Baked Goods,900,Corporate,700,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,200
Meat,900,Social Gathering,700,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,High,200
Fruits,950,Social Gathering,750,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,200
Dairy Products,850,Corporate,680,Refrigerated,Occasional,Summer,Finger Food,Suburban,Moderate,170
Fruits,1000,Social Gathering,780,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,220
Dairy Products,950,Birthday,640,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,310
Baked Goods,982,Wedding,797,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,185
Baked Goods,900,Birthday,720,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,180
Dairy Products,900,Corporate,720,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,180
Vegetables,1000,Social Gathering,800,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,High,200
Dairy Products,800,Corporate,620,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,180
Dairy Products,950,Wedding,750,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,200
Baked Goods,950,Corporate,750,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,200
Baked Goods,900,Social Gathering,700,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,200
Baked Goods,950,Social Gathering,750,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,200
Dairy Products,850,Social Gathering,650,Room Temperature,Regular,Summer,Buffet,Rural,Moderate,200
Baked Goods,850,Birthday,650,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,200
Vegetables,1000,Social Gathering,800,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,200
Vegetables,874,Social Gathering,690,Room Temperature,Regular,All Seasons,Finger Food,Urban,Low,184
Dairy Products,850,Social Gathering,680,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Low,170
Vegetables,950,Corporate,750,Refrigerated,Regular,Summer,Buffet,Urban,High,200
Fruits,980,Wedding,667,Refrigerated,Regular,Winter,Sit-down Dinner,Rural,Low,313
Fruits,874,Birthday,690,Refrigerated,Occasional,Winter,Finger Food,Rural,Low,184
Fruits,950,Wedding,700,Room Temperature,Regular,Summer,Finger Food,Urban,High,250
Meat,1000,Wedding,800,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,200
Fruits,850,Birthday,650,Room Temperature,Regular,Summer,Finger Food,Rural,High,200
Vegetables,850,Birthday,710,Refrigerated,Regular,Summer,Finger Food,Rural,High,140
Meat,874,Social Gathering,690,Refrigerated,Regular,Summer,Finger Food,Rural,Low,184
Meat,850,Birthday,650,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,200
Baked Goods,800,Wedding,620,Room Temperature,Regular,Summer,Buffet,Suburban,Low,180
Meat,1000,Birthday,800,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,200
Vegetables,850,Corporate,650,Refrigerated,Occasional,Summer,Buffet,Suburban,Low,200
Vegetables,950,Corporate,750,Refrigerated,Regular,Summer,Finger Food,Urban,High,200
Meat,900,Birthday,700,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Low,200
Meat,850,Birthday,650,Refrigerated,Regular,Winter,Finger Food,Suburban,Moderate,200
Meat,850,Wedding,661,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Moderate,189
Meat,1000,Wedding,800,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,High,200
Vegetables,950,Wedding,750,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,200
Fruits,900,Social Gathering,720,Room Temperature,Regular,Summer,Buffet,Rural,High,180
Fruits,900,Wedding,700,Refrigerated,Regular,Winter,Sit-down Dinner,Rural,Moderate,200
Vegetables,850,Birthday,680,Room Temperature,Regular,Summer,Finger Food,Rural,Low,170
Meat,800,Wedding,620,Refrigerated,Occasional,Winter,Finger Food,Suburban,Moderate,180
Vegetables,900,Corporate,700,Refrigerated,Regular,Winter,Finger Food,Rural,Moderate,200
Meat,850,Wedding,650,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,200
Baked Goods,850,Social Gathering,680,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,170
Baked Goods,900,Social Gathering,780,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,120
Dairy Products,900,Corporate,720,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,180
Baked Goods,950,Birthday,750,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,200
Dairy Products,1000,Corporate,630,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,370
Baked Goods,950,Social Gathering,750,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,200
Dairy Products,1000,Social Gathering,780,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,220
Dairy Products,905,Social Gathering,742,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,163
Fruits,1000,Wedding,800,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,High,200
Vegetables,888,Wedding,675,Room Temperature,Regular,All Seasons,Finger Food,Rural,Low,213
Vegetables,800,Social Gathering,620,Refrigerated,Regular,Winter,Finger Food,Urban,Low,180
Baked Goods,900,Wedding,680,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,220
Vegetables,1000,Corporate,800,Refrigerated,Occasional,Summer,Sit-down Dinner,Urban,High,200
Baked Goods,800,Wedding,620,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,180
Baked Goods,1000,Wedding,800,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,200
Dairy Products,1000,Wedding,800,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,Low,200
Meat,950,Social Gathering,750,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,200
Dairy Products,950,Corporate,700,Room Temperature,Regular,Winter,Finger Food,Urban,High,250
Fruits,950,Corporate,700,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,250
Dairy Products,989,Social Gathering,872,Room Temperature,Regular,Summer,Buffet,Urban,Low,117
Fruits,982,Wedding,797,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Moderate,185
Dairy Products,959,Birthday,839,Room Temperature,Regular,All Seasons,Buffet,Suburban,Low,120
Vegetables,800,Corporate,620,Refrigerated,Occasional,Summer,Finger Food,Suburban,Moderate,180
Fruits,800,Birthday,620,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,180
Fruits,800,Birthday,620,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,180
Dairy Products,920,Corporate,700,Room Temperature,Regular,All Seasons,Finger Food,Urban,Low,220
Baked Goods,1000,Corporate,800,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,200
Baked Goods,850,Corporate,680,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,170
Baked Goods,950,Wedding,750,Room Temperature,Regular,All Seasons,Sit-down Dinner,Rural,High,200
Baked Goods,950,Corporate,750,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,200
Dairy Products,850,Wedding,800,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,50
Meat,950,Social Gathering,750,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,High,200
Fruits,850,Social Gathering,650,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,200
Baked Goods,950,Corporate,750,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,200
Dairy Products,874,Social Gathering,690,Room Temperature,Regular,Winter,Finger Food,Rural,Low,184
Dairy Products,850,Wedding,800,Room Temperature,Regular,All Seasons,Sit-down Dinner,Rural,High,50
Dairy Products,850,Corporate,680,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,170
Dairy Products,1000,Corporate,800,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,200
Meat,1000,Wedding,800,Refrigerated,Occasional,Winter,Sit-down Dinner,Rural,High,200
Baked Goods,900,Birthday,720,Room Temperature,Regular,Winter,Buffet,Rural,High,180
Fruits,950,Corporate,710,Room Temperature,Regular,All Seasons,Buffet,Urban,Low,240
Vegetables,800,Wedding,620,Refrigerated,Occasional,Summer,Finger Food,Rural,Low,180
Vegetables,920,Social Gathering,767,Refrigerated,Regular,Summer,Buffet,Urban,Low,153
Meat,950,Birthday,750,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Moderate,200
Dairy Products,1000,Wedding,650,Room Temperature,Regular,Winter,Buffet,Urban,High,350
Dairy Products,989,Corporate,872,Room Temperature,Regular,Winter,Buffet,Urban,Low,117
Baked Goods,850,Wedding,650,Room Temperature,Regular,All Seasons,Buffet,Urban,Low,200
Fruits,950,Social Gathering,620,Refrigerated,Regular,Summer,Finger Food,Rural,Low,330
Vegetables,980,Corporate,780,Refrigerated,Regular,Summer,Buffet,Suburban,Moderate,200
Meat,800,Corporate,620,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,180
Fruits,1000,Wedding,800,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,200
Fruits,900,Birthday,780,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,120
Baked Goods,850,Birthday,650,Room Temperature,Regular,Winter,Buffet,Rural,Moderate,200
Meat,950,Birthday,750,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Moderate,200
Fruits,997,Birthday,891,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,106
Fruits,980,Birthday,780,Room Temperature,Occasional,Summer,Buffet,Suburban,Moderate,200
Meat,970,Social Gathering,692,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,278
Vegetables,1000,Birthday,800,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Low,200
Baked Goods,950,Birthday,700,Room Temperature,Regular,Summer,Finger Food,Suburban,High,250
Baked Goods,800,Wedding,620,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,180
Dairy Products,850,Corporate,650,Room Temperature,Regular,All Seasons,Buffet,Urban,Low,200
Baked Goods,800,Corporate,620,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Low,180
Fruits,1000,Corporate,630,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,370
Vegetables,900,Birthday,720,Refrigerated,Regular,All Seasons,Finger Food,Rural,Moderate,180
Baked Goods,1000,Corporate,850,Room Temperature,Occasional,Summer,Finger Food,Urban,High,150
Fruits,1000,Corporate,800,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,High,200
Fruits,905,Corporate,742,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,163
Dairy Products,850,Wedding,800,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,High,50
Vegetables,800,Corporate,620,Refrigerated,Occasional,Summer,Finger Food,Suburban,Moderate,180
Vegetables,950,Birthday,640,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Moderate,310
Dairy Products,850,Wedding,650,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,200
Dairy Products,900,Birthday,700,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,200
Dairy Products,998,Corporate,888,Room Temperature,Regular,Summer,Finger Food,Suburban,High,110
Baked Goods,950,Birthday,750,Room Temperature,Occasional,All Seasons,Finger Food,Rural,High,200
Meat,1000,Birthday,630,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Suburban,Moderate,370
Meat,800,Social Gathering,620,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,180
Dairy Products,850,Wedding,680,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,170
Fruits,1000,Wedding,800,Room Temperature,Occasional,All Seasons,Sit-down Dinner,Suburban,High,200
Dairy Products,1000,Corporate,800,Room Temperature,Regular,All Seasons,Finger Food,Urban,High,200
Baked Goods,900,Birthday,780,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,120
Fruits,850,Social Gathering,650,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Moderate,200
Dairy Products,900,Corporate,700,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Low,200
Dairy Products,800,Corporate,620,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,180
Baked Goods,950,Corporate,750,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,200
Vegetables,900,Social Gathering,720,Refrigerated,Occasional,Summer,Finger Food,Suburban,Moderate,180
Baked Goods,900,Corporate,720,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,180
Dairy Products,800,Corporate,620,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,180
Dairy Products,850,Birthday,650,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,200
Dairy Products,980,Corporate,680,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,300
Dairy Products,1000,Social Gathering,850,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,150
Dairy Products,950,Wedding,750,Room Temperature,Occasional,All Seasons,Sit-down Dinner,Suburban,High,200
Vegetables,900,Social Gathering,700,Room Temperature,Occasional,Winter,Sit-down Dinner,Suburban,High,200
Dairy Products,900,Social Gathering,700,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Low,200
Baked Goods,950,Social Gathering,620,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,330
Dairy Products,850,Social Gathering,680,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,170
Dairy Products,950,Social Gathering,750,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,200
Dairy Products,848,Social Gathering,647,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,201
Dairy Products,1000,Social Gathering,800,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,200
Dairy Products,900,Social Gathering,720,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,180
Dairy Products,850,Social Gathering,800,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,50
Meat,900,Birthday,720,Refrigerated,Regular,Winter,Buffet,Rural,High,180
Meat,900,Wedding,680,Refrigerated,Regular,Winter,Buffet,Urban,Moderate,220
Meat,900,Corporate,720,Room Temperature,Regular,Summer,Buffet,Urban,High,180
Meat,950,Corporate,710,Refrigerated,Regular,All Seasons,Buffet,Urban,Low,240
Meat,950,Birthday,750,Refrigerated,Regular,Summer,Finger Food,Suburban,Low,200
Meat,850,Wedding,800,Refrigerated,Regular,Summer,Sit-down Dinner,Rural,High,50
Meat,950,Birthday,750,Refrigerated,Regular,Winter,Finger Food,Suburban,High,200
Meat,950,Birthday,750,Refrigerated,Regular,Winter,Finger Food,Suburban,High,200
Meat,1000,Wedding,800,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,200
Fruits,900,Wedding,720,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,180
Fruits,1000,Wedding,800,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,200
Baked Goods,800,Social Gathering,620,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,180
Dairy Products,995,Social Gathering,834,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Low,161
Dairy Products,900,Social Gathering,700,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,200
Dairy Products,900,Social Gathering,700,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,200
Meat,980,Birthday,720,Refrigerated,Regular,Winter,Buffet,Rural,High,260
Meat,950,Corporate,750,Refrigerated,Occasional,Summer,Buffet,Urban,High,200
Meat,1000,Corporate,800,Refrigerated,Occasional,Winter,Buffet,Rural,High,200
Meat,850,Birthday,710,Refrigerated,Regular,Winter,Finger Food,Rural,High,140
Meat,1000,Wedding,780,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,220
Meat,800,Wedding,620,Refrigerated,Regular,Summer,Finger Food,Rural,Moderate,180
Meat,800,Corporate,620,Room Temperature,Regular,Summer,Finger Food,Urban,Low,180
Fruits,850,Wedding,710,Refrigerated,Regular,All Seasons,Finger Food,Rural,High,140
Meat,995,Birthday,834,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Low,161
Fruits,998,Corporate,888,Room Temperature,Regular,Summer,Finger Food,Rural,High,110
Fruits,888,Corporate,675,Room Temperature,Regular,Winter,Finger Food,Urban,Low,213
Meat,900,Wedding,700,Refrigerated,Regular,All Seasons,Finger Food,Urban,Moderate,200
Meat,800,Wedding,620,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Low,180
Meat,950,Corporate,750,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Moderate,200
Meat,1000,Wedding,800,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,High,200
Meat,800,Corporate,620,Room Temperature,Regular,Summer,Finger Food,Urban,Moderate,180
Meat,800,Birthday,620,Refrigerated,Occasional,Winter,Finger Food,Suburban,Moderate,180
Vegetables,950,Birthday,750,Room Temperature,Regular,Summer,Finger Food,Urban,High,200
Vegetables,800,Corporate,620,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,180
Baked Goods,800,Birthday,620,Room Temperature,Regular,Summer,Finger Food,Urban,Low,180
Dairy Products,900,Birthday,700,Room Temperature,Regular,Summer,Buffet,Suburban,Low,200
Vegetables,850,Corporate,680,Refrigerated,Regular,Summer,Finger Food,Urban,Moderate,170
Baked Goods,950,Corporate,750,Room Temperature,Regular,Summer,Finger Food,Urban,Low,200
Fruits,850,Corporate,680,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,170
Baked Goods,900,Wedding,720,Room Temperature,Occasional,Summer,Buffet,Rural,High,180
Meat,850,Birthday,680,Room Temperature,Regular,Summer,Finger Food,Rural,Moderate,170
Meat,780,Corporate,607,Room Temperature,Regular,Winter,Finger Food,Suburban,High,173
Fruits,888,Corporate,675,Room Temperature,Regular,Winter,Finger Food,Suburban,Low,213
Vegetables,850,Wedding,800,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,50
Meat,850,Wedding,650,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,200
Meat,1000,Birthday,800,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,High,200
Fruits,950,Birthday,750,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,200
Baked Goods,900,Wedding,700,Room Temperature,Regular,All Seasons,Finger Food,Rural,Low,200
Meat,950,Birthday,750,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,200
